YahooEquiv,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,Unnamed: 8,Yahoo_Equivalent_Code
PDSMFL.NS,PDSMFL,PDS Multinational Fashions Limited,EQ,21-Oct-14,10,1,INE111Q01013,10,.NS,"'PDSMFL.NS',"
PHILIPCARB.NS,PHILIPCARB,Phillips Carbon Black Limited,EQ,29-Mar-95,2,1,INE602A01023,2,.NS,"'PHILIPCARB.NS',"
PIONDIST.NS,PIONDIST,Pioneer Distilleries Limited,EQ,15-Jun-10,10,1,INE889E01010,10,.NS,"'PIONDIST.NS',"
PRABHAT.NS,PRABHAT,Prabhat Dairy Limited,EQ,21-Sep-15,10,1,INE302M01033,10,.NS,"'PRABHAT.NS',"
PRESSMN.NS,PRESSMN,Pressman Advertising Limited,EQ,05-Jan-05,2,1,INE980A01023,2,.NS,"'PRESSMN.NS',"
PROZONINTU.NS,PROZONINTU,Prozone Intu Properties Limited,EQ,12-Sep-12,2,1,INE195N01013,2,.NS,"'PROZONINTU.NS',"
PVR.NS,PVR,PVR Limited,EQ,04-Jan-06,10,1,INE191H01014,10,.NS,"'PVR.NS',"
RAJRAYON.NS,RAJRAYON,Raj Rayon Industries Limited,BZ,04-Jan-07,1,1,INE533D01024,1,.NS,"'RAJRAYON.NS',"
RAMSARUP.NS,RAMSARUP,Ramsarup Industries Limited,BZ,09-Jul-07,10,1,INE005D01015,10,.NS,"'RAMSARUP.NS',"
REVATHI.NS,REVATHI,Revathi Equipment Limited,EQ,11-Aug-05,10,1,INE617A01013,10,.NS,"'REVATHI.NS',"
ROHITFERRO.NS,ROHITFERRO,Rohit Ferro-Tech Limited,BE,13-Apr-06,10,1,INE248H01012,10,.NS,"'ROHITFERRO.NS',"
RTNINFRA.NS,RTNINFRA,RattanIndia Infrastructure Limited,EQ,30-Jul-12,2,1,INE834M01019,2,.NS,"'RTNINFRA.NS',"
RUCHI.NS,RUCHI,Ruchi Soya Industries Limited,EQ,24-Jan-20,2,1,INE619A01035,2,.NS,"'RUCHI.NS',"
SANGHVIFOR.NS,SANGHVIFOR,Sanghvi Forging and Engineering Limited,BE,23-May-11,10,1,INE263L01013,10,.NS,"'SANGHVIFOR.NS',"
SCAPDVR.NS,SCAPDVR,Stampede Capital Limited,EQ,10-Oct-17,1,1,INE224E01036,1,.NS,"'SCAPDVR.NS',"
SELMCL.NS,SELMCL,SEL Manufacturing Company Limited,BZ,21-Aug-07,10,1,INE105I01012,10,.NS,"'SELMCL.NS',"
SEPOWER.NS,SEPOWER,S.E. Power Limited,BE,27-Jul-12,10,1,INE735M01018,10,.NS,"'SEPOWER.NS',"
SEZAL.NS,SEZAL,Sezal Glass Limited,BZ,22-Nov-11,10,1,INE955I01036,10,.NS,"'SEZAL.NS',"
SHIL.NS,SHIL,Somany Home Innovation Limited,EQ,26-Dec-19,2,1,INE05AN01011,2,.NS,"'SHIL.NS',"
SHRIRAMCIT.NS,SHRIRAMCIT,Shriram City Union Finance Limited,EQ,04-Apr-05,10,1,INE722A01011,10,.NS,"'SHRIRAMCIT.NS',"
SHRIRAMEPC.NS,SHRIRAMEPC,Shriram EPC Limited,EQ,20-Feb-08,10,1,INE964H01014,10,.NS,"'SHRIRAMEPC.NS',"
SICAGEN.NS,SICAGEN,Sicagen India Limited,EQ,21-Aug-08,10,1,INE176J01011,10,.NS,"'SICAGEN.NS',"
SICAL.NS,SICAL,Sical Logistics Limited,BE,28-Apr-99,10,1,INE075B01012,10,.NS,"'SICAL.NS',"
SINTEX.NS,SINTEX,Sintex Industries Limited,BE,05-Nov-98,1,1,INE429C01035,1,.NS,"'SINTEX.NS',"
SMPL.NS,SMPL,Splendid Metal Products Limited,BZ,09-Mar-10,5,1,INE215G01021,5,.NS,"'SMPL.NS',"
SREINFRA.NS,SREINFRA,SREI Infrastructure Finance Limited,EQ,20-Dec-95,10,1,INE872A01014,10,.NS,"'SREINFRA.NS',"
SRIPIPES.NS,SRIPIPES,Srikalahasthi Pipes Limited,EQ,28-Aug-07,10,1,INE943C01027,10,.NS,"'SRIPIPES.NS',"
SRTRANSFIN.NS,SRTRANSFIN,Shriram Transport Finance Company Limited,EQ,11-Dec-96,10,1,INE721A01013,10,.NS,"'SRTRANSFIN.NS',"
SUBCAPCITY.NS,SUBCAPCITY,International Constructions Limited,BE,10-Jul-96,10,1,INE845C01016,10,.NS,"'SUBCAPCITY.NS',"
SUJANAUNI.NS,SUJANAUNI,Sujana Universal Industries Limited,BE,19-Feb-08,10,1,INE216G01011,10,.NS,"'SUJANAUNI.NS',"
SUNCLAYLTD.NS,SUNCLAYLTD,Sundaram Clayton Limited,EQ,23-Oct-12,5,1,INE105A01035,5,.NS,"'SUNCLAYLTD.NS',"
SUPPETRO.NS,SUPPETRO,Supreme Petrochem Limited,EQ,13-Oct-99,10,1,INE663A01017,10,.NS,"'SUPPETRO.NS',"
SYNCOM.NS,SYNCOM,Syncom Healthcare Limited,BZ,15-Feb-10,10,1,INE602K01014,10,.NS,"'SYNCOM.NS',"
TANTIACONS.NS,TANTIACONS,Tantia Constructions Limited,BZ,19-Feb-08,10,1,INE388G01018,10,.NS,"'TANTIACONS.NS',"
TATASTLBSL.NS,TATASTLBSL,Tata Steel Bsl Limited,EQ,21-Nov-03,2,1,INE824B01021,2,.NS,"'TATASTLBSL.NS',"
TATASTLLP.NS,TATASTLLP,Tata Steel Long Products Limited,EQ,24-Feb-03,10,1,INE674A01014,10,.NS,"'TATASTLLP.NS',"
TCIDEVELOP.NS,TCIDEVELOP,TCI Developers Limited,EQ,19-Apr-11,10,1,INE662L01016,10,.NS,"'TCIDEVELOP.NS',"
THIRUSUGAR.NS,THIRUSUGAR,Thiru Arooran Sugars Limited,BZ,02-May-95,10,1,INE409A01015,10,.NS,"'THIRUSUGAR.NS',"
TINPLATE.NS,TINPLATE,The Tinplate Company of India Limited,EQ,27-Jan-06,10,1,INE422C01014,10,.NS,"'TINPLATE.NS',"
TMRVL.NS,TMRVL,The Mandhana Retail Ventures Limited,EQ,14-Dec-16,10,1,INE759V01019,10,.NS,"'TMRVL.NS',"
TWL.NS,TWL,Titagarh Wagons Limited,EQ,21-Apr-08,2,1,INE615H01020,2,.NS,"'TWL.NS',"
UCALFUEL.NS,UCALFUEL,Ucal Fuel Systems Limited,EQ,13-Sep-95,10,1,INE139B01016,10,.NS,"'UCALFUEL.NS',"
UJAAS.NS,UJAAS,Ujaas Energy Limited,BE,20-Oct-11,1,1,INE899L01022,1,.NS,"'UJAAS.NS',"
UTTAMSTL.NS,UTTAMSTL,Uttam Galva Steels Limited,BE,25-May-95,10,1,INE699A01011,10,.NS,"'UTTAMSTL.NS',"
VICEROY.NS,VICEROY,Viceroy Hotels Limited,BE,21-Aug-07,10,1,INE048C01017,10,.NS,"'VICEROY.NS',"
VIKASMCORP.NS,VIKASMCORP,Vikas Multicorp Limited,EQ,08-May-19,1,1,INE161L01027,1,.NS,"'VIKASMCORP.NS',"
WABCOINDIA.NS,WABCOINDIA,WABCO India Limited,EQ,01-Oct-08,5,1,INE342J01019,5,.NS,"'WABCOINDIA.NS',"
WELSPUNIND.NS,WELSPUNIND,Welspun India Limited,EQ,04-Dec-03,1,1,INE192B01031,1,.NS,"'WELSPUNIND.NS',"
YAARII.NS,YAARII,Yaarii Digital Integrated Services Limited,EQ,18-Aug-11,2,1,INE126M01010,2,.NS,"'YAARII.NS',"
ZODJRDMKJ.NS,ZODJRDMKJ,Zodiac JRD- MKJ Limited,EQ,19-Jul-95,10,1,INE077B01018,10,.NS,"'ZODJRDMKJ.NS',"
ZUARIGLOB.NS,ZUARIGLOB,Zuari Global Limited,BE,12-Apr-95,10,1,INE217A01012,10,.NS,"'ZUARIGLOB.NS',"
